1272979211	20251107	202511	2025	2025.8411											CVL	TENANTS						CVL			1	036	036	03	1	4.0	10	1	10	0	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Camberwell, Southwark, United Kingdom	UK	UKM8	40133	51.4736	-0.091618	9184434	20251107140000	https://www.timeout.com/london/news/the-popular-south-bank-shopping-destination-that-is-set-to-get-torn-down-by-developers-110725
1272979212	20251107	202511	2025	2025.8411											CVL	VILLAGE						CVL			0	042	042	04	1	1.9	5	1	5	-3.06666666666667	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20251107140000	https://english.aawsat.com/opinion/5206174-hezbollah-two-statements
1272979213	20251107	202511	2025	2025.8411											EDU	SCHOOL						EDU			1	020	020	02	1	3.0	10	1	10	1.58450704225352	0								4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20251107140000	https://www.hindustantimes.com/india-news/tmc-mandates-banglar-mati-banglar-jol-in-bengal-schools-as-bjp-marks-150-yrs-of-vande-mataram-101762521551599.html
1272979214	20251107	202511	2025	2025.8411											EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	2	1	2	0	0								4	Donegal, Donegal, Ireland	EI	EI06	18287	54.65	-8.11667	-1502376	4	Donegal, Donegal, Ireland	EI	EI06	18287	54.65	-8.11667	-1502376	20251107140000	https://www.irishnews.com/news/plans-in-belfast-for-new-15km-of-cycle-lane-and-pavement-to-improve-hostile-environment-VBHMTIKMQ5PE5KSJ4F3JSJSE5Y/
1272979215	20251107	202511	2025	2025.8411											EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	8	1	8	0	0								4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20251107140000	https://www.irishnews.com/news/plans-in-belfast-for-new-15km-of-cycle-lane-and-pavement-to-improve-hostile-environment-VBHMTIKMQ5PE5KSJ4F3JSJSE5Y/
1272979216	20251107	202511	2025	2025.8411											EDU	STUDENT						EDU			0	043	043	04	1	2.8	3	1	2	-0.32206119162641	0								5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20251107140000	https://www.cbc.ca/news/canada/newfoundland-labrador/mun-might-sell-harlow-campus-9.6969936
1272979217	20251107	202511	2025	2025.8411											EDU	STUDENT						EDU			0	043	043	04	1	2.8	15	1	8	-0.32206119162641	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251107140000	https://www.cbc.ca/news/canada/newfoundland-labrador/mun-might-sell-harlow-campus-9.6969936
1272979218	20251107	202511	2025	2025.8411											EDU	STUDENT						EDU			0	043	043	04	1	2.8	6	1	6	-7.40740740740741	0								3	Richneck, Virginia, United States	US	USVA	VA159	37.9751	-76.6602	1473182	3	Richneck, Virginia, United States	US	USVA	VA159	37.9751	-76.6602	1473182	20251107140000	https://www.el-balad.com/6758712
1272979219	20251107	202511	2025	2025.8411											EDU	STUDENT						EDU			1	051	051	05	1	3.4	10	1	10	7.50853242320819	0								5	County Galway, Galway, Ireland	EI	EI10	18289	53.3333	-9	-1502951	5	County Galway, Galway, Ireland	EI	EI10	18289	53.3333	-9	-1502951	20251107140000	https://teagasc.ie/news--events/news/celebrate-the-power-of-discovery-with-teagasc-science-week-2025/
1272979220	20251107	202511	2025	2025.8411											EDULAB	SCHOOL						EDU	LAB		1	112	112	11	3	-2.0	10	1	10	-9.27835051546391	0								0								0								20251107140000	https://www.lbc.co.uk/article/school-worker-to-face-trial-over-alleged-relationship-with-teenager-5HjdGTy_2/
