1268082343	20251011	202510	2025	2025.7699											MED	MEDIA						MED			0	020	020	02	1	3.0	5	1	5	0.38240917782027	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20251011184500	https://www.nzherald.co.nz/business/media-insider/media-insider-top-journalist-ejected-from-human-rights-review-tribunal-hearing-under-contempt-of-court-claim/3IK26ZXHPBAVZFDXEU3WSAEMEE/
1268082344	20251011	202510	2025	2025.7699											MED	EDITOR IN CHIEF						MED			1	043	043	04	1	2.8	6	1	6	8.24295010845987	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251011184500	https://bleedingcool.com/comics/dc-next-level-at-nycc-joshua-williamson-the-legion-of-super0heroes/
1268082345	20251011	202510	2025	2025.7699											MNCUSA	DISNEY	USA					MNC			1	042	042	04	1	1.9	10	1	10	-6.57894736842105	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20251011184500	https://www.cruiselawnews.com/2019/10/articles/sexual-assault-exploitation/police-disney-youth-counselor-molested-10-year-old-child-on-disney-magic/
1268082346	20251011	202510	2025	2025.7699											MNCUSA	COSTCO	USA					MNC			1	042	042	04	1	1.9	5	1	5	0.0561167227833901	0								3	Atlanta, Georgia, United States	US	USGA	GA121	33.749	-84.388	351615	3	Atlanta, Georgia, United States	US	USGA	GA121	33.749	-84.388	351615	20251011184500	https://www.jalopnik.com/1990139/costco-car-rental-cost/
1268082347	20251011	202510	2025	2025.7699											MUS	MAURITIAN	MUS								0	042	042	04	1	1.9	10	1	10	-3.08310991957105	0								4	Chagos Archipelago, Mauritius (general), Mauritius	MP	MP00	18585	-6	72	-1355685	4	Chagos Archipelago, Mauritius (general), Mauritius	MP	MP00	18585	-6	72	-1355685	20251011184500	https://www.yahoo.com/news/articles/why-starmer-chagos-betrayal-bankrupting-170000330.html
1268082348	20251011	202510	2025	2025.7699											NGOUSAJEWGOV	AMIT	USA			JEW		NGO	GOV		1	036	036	03	1	4.0	4	1	4	-0.27397260273972	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20251011184500	https://www.theweek.in/news/india/2025/10/11/bihar-election-2025-nda-seat-sharing-blueprint-ready-ahead-of-october-12-delhi-meeting.html
1268082349	20251011	202510	2025	2025.7699											NGOUSAJEWGOV	AMIT	USA			JEW		NGO	GOV		1	040	040	04	1	1.0	3	1	3	-0.27397260273972	0								4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251011184500	https://www.theweek.in/news/india/2025/10/11/bihar-election-2025-nda-seat-sharing-blueprint-ready-ahead-of-october-12-delhi-meeting.html
1268082350	20251011	202510	2025	2025.7699											NGOUSAJEWGOV	AMIT	USA			JEW		NGO	GOV		1	040	040	04	1	1.0	1	1	1	-0.27397260273972	0								4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	20251011184500	https://www.theweek.in/news/india/2025/10/11/bihar-election-2025-nda-seat-sharing-blueprint-ready-ahead-of-october-12-delhi-meeting.html
1268082351	20251011	202510	2025	2025.7699											NLD	DUTCH	NLD								1	111	111	11	3	-2.0	6	1	6	-6.18556701030928	0								1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082352	20251011	202510	2025	2025.7699											NOR	NORWEGIAN	NOR								1	040	040	04	1	1.0	4	1	4	2.94550810014728	0								4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	20251011184500	https://blackstarnews.com/who-won-the-nobel-peace-prize-and-who-didnt/
