1270733286	20251026	202510	2025	2025.8110											GME	EAST GERMANY									0	190	190	19	4	-10.0	2	1	2	-1.82123172777379	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251026090000	https://links.org.au/we-rose-phoenix-ashes-interview-die-linkes-janis-ehling
1270733287	20251026	202510	2025	2025.8110											GOV	CHIEF MINISTER						GOV			1	040	040	04	1	1.0	10	1	10	-0.67114093959731	0								4	Belagavi, Karnataka, India	IN	IN19	17769	15.8667	74.5	-2090976	4	Belagavi, Karnataka, India	IN	IN19	17769	15.8667	74.5	-2090976	20251026090000	https://www.theweek.in/news/india/2025/10/26/will-karnataka-get-a-new-cm-d-k-shivakumar-s-cm-ambitions-in-focus-amid-reports-of-cabinet-reshuffle.html
1270733288	20251026	202510	2025	2025.8110											GOV	REGULATOR						GOV			1	045	045	04	1	5.0	10	1	10	8.93719806763285	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251026090000	https://www.standardmedia.co.ke/business/article/2001532696/cs-standards-agency-bosses-root-for-quality-to-boost-competitiveness
1270733289	20251026	202510	2025	2025.8110											HLH	HOSPITAL						HLH			1	013	013	01	1	0.4	5	1	5	-1.78571428571428	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20251026090000	https://www.liverpoolecho.co.uk/news/uk-world-news/chef-says-need-chemo-rest-32741024
1270733290	20251026	202510	2025	2025.8110											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	5	1	5	-1.78571428571428	0								4	Gateshead, Gateshead, United Kingdom	UK	UKE5	40134	54.945	-1.6175	-2596844	4	Gateshead, Gateshead, United Kingdom	UK	UKE5	40134	54.945	-1.6175	-2596844	20251026090000	https://www.liverpoolecho.co.uk/news/uk-world-news/chef-says-need-chemo-rest-32741024
1270733291	20251026	202510	2025	2025.8110											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-3.62595419847328	0								1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20251026090000	http://www.femalefirst.co.uk/tv/news/sir-stephen-fry-minutes-death-after-drug-alcohol-binge-1431969.html
1270733292	20251026	202510	2025	2025.8110											IGOSEAASN	ASEAN	SEA	ASN				IGO			1	050	050	05	1	3.5	5	1	5	5.64516129032258	0								1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20251026090000	https://www.moneycontrol.com/news/india/india-news-delhi-aqi-trump-tariffs-asia-visit-asean-summit-pm-modi-rahul-gandhi-breaking-news-world-news-live-updates-october-26-liveblog-13632301.html
1270733293	20251026	202510	2025	2025.8110											INDHLH	MAHARASHTRA	IND					HLH			1	180	180	18	4	-9.0	10	1	10	-12.5	0								0								0								20251026090000	https://www.hindustantimes.com/india-news/maharashtra-doctor-suicide-who-is-gopal-badane-sub-inspector-accused-of-sexual-assault-101761459543776.html
1270733294	20251026	202510	2025	2025.8110											ISR	ISRAEL	ISR								1	1246	124	12	3	-4.0	4	1	4	-4.13669064748201	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.arabnews.com/node/2620284
1270733295	20251026	202510	2025	2025.8110											JUD	MAGISTRATE						JUD			1	043	043	04	1	2.8	5	1	5	-5.17241379310345	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251026090000	https://www.shropshirelive.com/news/2025/10/26/man-ordered-to-pay-more-than-2000-for-blue-badge-misuse-in-shrewsbury/
1270733296	20251026	202510	2025	2025.8110											KEN	MOMBASA	KEN								1	042	042	04	1	1.9	8	1	8	2.85714285714286	0								4	Changamwe, Coast, Kenya	KE	KE02	18585	-4.01659	39.6289	-2242887	4	Changamwe, Coast, Kenya	KE	KE02	18585	-4.01659	39.6289	-2242887	20251026090000	https://www.standardmedia.co.ke/business/article/2001532695/why-state-is-banking-on-oil-minerals-fund-to-pay-debts
1270733297	20251026	202510	2025	2025.8110											KHM	CAMBODIA	KHM								1	087	087	08	2	9.0	2	2	2	2.84100080710251	0								1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20251026090000	http://www.australiannews.net/news/278656875/sincere-appreciation-to-president-trump-thai-acting-pm-phumtham-wechayachai-on-historic-cambodia-peace-deal
1270733298	20251026	202510	2025	2025.8110											KHM	CAMBODIA	KHM								1	087	087	08	2	9.0	2	2	2	2.84100080710251	0								1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20251026090000	http://www.australiannews.net/news/278656875/sincere-appreciation-to-president-trump-thai-acting-pm-phumtham-wechayachai-on-historic-cambodia-peace-deal
1270733299	20251026	202510	2025	2025.8110											KHM	CAMBODIA	KHM								1	0874	087	08	2	10.0	2	2	2	2.84100080710251	0								1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20251026090000	http://www.australiannews.net/news/278656875/sincere-appreciation-to-president-trump-thai-acting-pm-phumtham-wechayachai-on-historic-cambodia-peace-deal
1270733300	20251026	202510	2025	2025.8110											KHM	CAMBODIA	KHM								1	0874	087	08	2	10.0	2	2	2	2.84100080710251	0								1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20251026090000	http://www.australiannews.net/news/278656875/sincere-appreciation-to-president-trump-thai-acting-pm-phumtham-wechayachai-on-historic-cambodia-peace-deal
1270733301	20251026	202510	2025	2025.8110											LAB	WORKER						LAB			1	046	046	04	1	7.0	10	1	10	-1.41242937853107	0								1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251026090000	https://www.nzdoctor.co.nz/article/undoctored/more-1200-acc-workers-join-other-health-workers-striking-thursday
1270733302	20251026	202510	2025	2025.8110											MED	WRITER						MED			1	043	043	04	1	2.8	10	1	10	-3.62595419847328	0								1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20251026090000	http://www.femalefirst.co.uk/tv/news/sir-stephen-fry-minutes-death-after-drug-alcohol-binge-1431969.html
1270733303	20251026	202510	2025	2025.8110											MNCCAN	TESCO	CAN					MNC			0	042	042	04	1	1.9	5	1	5	-1.83861082737487	0								1	Iceland	IC	IC		65	-18	IC	1	Iceland	IC	IC		65	-18	IC	20251026090000	https://www.herefordtimes.com/news/25569990.aldi-tesco-m-s-lidl-iceland-supermarket-recalls/
1270733304	20251026	202510	2025	2025.8110											RUS	RUSSIAN	RUS								0	0841	084	08	2	7.0	6	1	6	-2.52976190476191	0								4	Burevestnik, Nizhegorodskaya Oblast', Russia	RS	RS51	25080	55.4144	43.9536	9259711	4	Burevestnik, Nizhegorodskaya Oblast', Russia	RS	RS51	25080	55.4144	43.9536	9259711	20251026090000	https://www.marketscreener.com/news/what-is-russia-s-burevestnik-missile-ce7d5ddedd8afe22
