1266180404	20251001	202510	2025	2025.7425											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	2	1	2	-10.8474576271186	0								4	Quetta, Balochistan, Pakistan	PK	PK02	23627	30.199	67.0097	-2772048	5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/ten-killed-30-injured-in-blast-in-balochistan-.html
1266180405	20251001	202510	2025	2025.7425											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	8	1	8	-10.8474576271186	0								4	Quetta, Balochistan, Pakistan	PK	PK02	23627	30.199	67.0097	-2772048	4	Quetta, Balochistan, Pakistan	PK	PK02	23627	30.199	67.0097	-2772048	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/ten-killed-30-injured-in-blast-in-balochistan-.html
1266180406	20251001	202510	2025	2025.7425											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	1.66666666666667	0								4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	20251001081500	https://www.moneycontrol.com/news/trends/former-brain-tumour-patient-in-china-opens-house-of-compassion-provides-free-lodging-to-patients-families-13592742.html
1266180407	20251001	202510	2025	2025.7425											HLH	HOSPITAL						HLH			1	043	043	04	1	2.8	10	1	10	1.66666666666667	0								4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	20251001081500	https://www.moneycontrol.com/news/trends/former-brain-tumour-patient-in-china-opens-house-of-compassion-provides-free-lodging-to-patients-families-13592742.html
1266180408	20251001	202510	2025	2025.7425											IND	MAHARASHTRA	IND								1	190	190	19	4	-10.0	8	1	5	-10.2654867256637	0								5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/mah-tops-in-abetment-of-suicide-cases-in-2023-murder-cases-down-ncrb-report.html
1266180409	20251001	202510	2025	2025.7425											IRNGOV	IRAN	IRN					GOV			0	042	042	04	1	1.9	10	1	10	-7.26714431934489	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20251001081500	https://www.ncr-iran.org/en/news/iran-news-in-brief-news/iran-news-in-brief-october-1-2025/
1266180410	20251001	202510	2025	2025.7425											ISRMIL	ISRAELI	ISR					MIL			1	190	190	19	4	-10.0	3	1	3	-10.4166666666667	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251001081500	https://www.middleeasteye.net/live-blog/live-blog-update/israeli-forces-kill-17-people-overnight-gaza
1266180411	20251001	202510	2025	2025.7425											JUD	ATTORNEY						JUD			0	040	040	04	1	1.0	1	1	1	-7.93388429752066	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	3	Brunswick County, North Carolina, United States	US	USNC		34.0668	-78.2664	1026340	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180412	20251001	202510	2025	2025.7425											JUD	ATTORNEY						JUD			0	040	040	04	1	1.0	4	1	4	-7.93388429752066	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180413	20251001	202510	2025	2025.7425											JUD	LAWYER						JUD			0	043	043	04	1	2.8	3	1	3	-7.93388429752066	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180414	20251001	202510	2025	2025.7425											JUD	ATTORNEY						JUD			0	046	046	04	1	7.0	1	1	1	-7.93388429752066	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	3	Brunswick County, North Carolina, United States	US	USNC		34.0668	-78.2664	1026340	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180415	20251001	202510	2025	2025.7425											JUD	ATTORNEY						JUD			0	046	046	04	1	7.0	4	1	4	-7.93388429752066	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180416	20251001	202510	2025	2025.7425											JUD	PROSECUTOR						JUD			1	0841	084	08	2	7.0	2	1	2	-7.75862068965517	0								1		RB	RB				RB	1	Kosovo	KV	KV		42.583333	21	KV	20251001081500	https://www.gazetaexpress.com/en/Two-Serbian-citizens-who-illegally-entered-the-territory-of-Kosovo-were-caught-by-a-KFOR-drone-and-escorted-to-the-police-station./
