1263215384	20250915	202509	2025	2025.6986											CHN	WUHAN	CHN								0	130	130	13	3	-4.4	1	1	1	-2.98507462686567	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3806236/now-we-know-why-fauci-got-a-pardon/
1263215385	20250915	202509	2025	2025.6986											COP	POLICE						COP			0	042	042	04	1	1.9	10	1	10	-6.44883920894239	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20250915121500	https://lebtown.com/2025/09/15/blotter-misuse-of-911-communications-burglary-theft-from-a-motor-vehicle/
1263215386	20250915	202509	2025	2025.6986											COP	POLICE						COP			1	043	043	04	1	2.8	5	1	5	-2.78128950695322	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250915121500	https://www.express.co.uk/news/uk/2108611/tommy-robinson-march-london-crowd-size
1263215387	20250915	202509	2025	2025.6986											COP	POLICE						COP			0	051	051	05	1	3.4	10	1	10	-6.44883920894239	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20250915121500	https://lebtown.com/2025/09/15/blotter-misuse-of-911-communications-burglary-theft-from-a-motor-vehicle/
1263215388	20250915	202509	2025	2025.6986											COP	POLICE						COP			0	173	173	17	4	-5.0	6	1	6	-6.44883920894239	0								3	Palmyra, Pennsylvania, United States	US	USPA	PA075	40.309	-76.5933	1213997	3	Palmyra, Pennsylvania, United States	US	USPA	PA075	40.309	-76.5933	1213997	20250915121500	https://lebtown.com/2025/09/15/blotter-misuse-of-911-communications-burglary-theft-from-a-motor-vehicle/
1263215389	20250915	202509	2025	2025.6986											CVL	VOTER						CVL			0	046	046	04	1	7.0	10	1	10	-1.21739130434782	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20250915121500	https://www.express.co.uk/news/politics/2108636/nigel-farage-Danny-kruger-defection-analysis
1263215390	20250915	202509	2025	2025.6986											CVL	ENGINEER						CVL			1	051	051	05	1	3.4	5	1	5	4.57256461232605	0								4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20250915121500	https://www.myjoyonline.com/ev-house-ltd-partners-with-attc-to-inspire-ghanas-future-ev-workforce/
1263215391	20250915	202509	2025	2025.6986											CVL	RESIDENTS						CVL			0	100	100	10	3	-5.0	6	1	6	-3.68763557483731	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250915121500	https://www.foxnews.com/us/relative-says-alleged-kirk-assassins-trans-roommate-hates-conservatives-and-more-top-headlines
1263215392	20250915	202509	2025	2025.6986											EDU	SCHOOL						EDU			1	051	051	05	1	3.4	10	1	10	-3.39622641509433	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250915121500	https://www.adn.com/opinions/2025/09/12/opinion-summers-over-but-its-still-trail-season-in-alaska/
1263215393	20250915	202509	2025	2025.6986											EGY	NILE	EGY								1	042	042	04	1	1.9	5	1	5	11.5384615384615	0								1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	20250915121500	https://ntv.co.ug/business/seedsofgold/west-niles-largest-tree-and-fruit-nursery-part-2-seeds-of-gold
1263215394	20250915	202509	2025	2025.6986											EGY	NASSER	EGY								1	046	046	04	1	7.0	6	1	6	8.33333333333333	0								1	Oman	MU	MU		21	57	MU	1	Oman	MU	MU		21	57	MU	20250915121500	https://timesofoman.com/article/162759-from-ideas-to-impact-mcbs-innovationx-at-the-heart-of-comex-2025-showcasing-startups-building-partnerships-and-driving-omans-innovation-future
